id,description,baseUrl,path,restParameters,type,httpResponse,expectedOut,expected
CIP-8215_Func_1,importComponents,ciportal,/CI/importComponents/,"componentResult={'parent':'CI-Line','child':'CI-Axis','artifacts':['ERICalpha_CXP9030450','ERICcifwkportal_CXP9030099']}",POST,OK,Data Successfully Loaded into the CI DB,TRUE
CIP-8215_Func_2,packagesInComponent,ciportal,/packagesInComponent/,"product=CI,parentValue=CI-Line,childValue=CI-Axis",GET,OK,ERICcifwkportal_CXP9030099,TRUE
CIP-8215_Func_3,packagesInComponent,ciportal,/packagesInComponent/,"product=CI,parentValue=CI-Line,childValue=CI-Axis",GET,OK,ERICalpha_CXP9030450,TRUE
CIP-8215_Func_4,removeComponents,ciportal,/CI/removeComponents/,"componentResult={'parent':'CI-Line','child':'CI-Axis','artifacts':['ERICalpha_CXP9030450']}",POST,OK,Data Successfully Removed from the CI DB,TRUE
CIP-8215_Func_5,packagesInComponent,ciportal,/packagesInComponent/,"product=CI,parentValue=CI-Line,childValue=CI-Axis",GET,OK,ERICcifwkportal_CXP9030099,TRUE
CIP-4771_Func_13,,ciportal,test/1.0.1/media/,,GET,OK,1.0.1,TRUE
CIP-4771_Func_14,,ciportal,createISOcontentOnly/,product=test&release=testrelname&drop=1.0.1&platform=none,POST,OK,1.0.1,TRUE
CIP-4771_Func_15,,ciportal,createISOcontentOnly/,product=test&release=testrelname&drop=1.0.2&platform=none,POST,OK,1.0.2,TRUE
CIP-4771_Func_16,,ciportal,test/1.0.1/media/,,GET,OK,1.0.1,TRUE
CIP-4771_Func_17,,ciportal,test/1.0.2/media/,,GET,OK,1.0.2,TRUE
CIP-5011_Func_1,Media Delivery To Drop -Success,ciportal,mediaDeliveryToDrop/,product=test&drop=1.0.2&mediaArtifact=testma&version=1.0.1&productSet=psTest&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Sucessfully Delivered,TRUE
CIP-5011_Func_1.1,Media Delivery To Drop -Success,ciportal,mediaDeliveryToDrop/,product=test&drop=latest&mediaArtifact=testma&version=1.0.2&productSet=psTest&productSetRelease=pstestrelname&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Sucessfully Delivered,TRUE
CIP-5011_Func_1.2,Media Delivery To Drop - Error: Media Artifact required,ciportal,mediaDeliveryToDrop/,product=test&drop=latest&version=3.11.20&productSet=psTest&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Error: Media Artifact required,TRUE
CIP-5011_Func_1.3,Media Delivery To Drop - Error: version required,ciportal,mediaDeliveryToDrop/,product=test&drop=latest&mediaArtifact=testma&productSet=psTest&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Error: version required,TRUE
CIP-5011_Func_1.4,Media Delivery To Drop - Error: Product required,ciportal,mediaDeliveryToDrop/,drop=latest&mediaArtifact=testma&version=1.0.2&productSet=psTest&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Error: Product required,TRUE
CIP-5011_Func_1.5,Media Delivery To Drop - Error: Signum required,ciportal,mediaDeliveryToDrop/,product=test&drop=latest&mediaArtifact=testma&version=1.0.2&productSet=psTest&email=tafTest@ericsson.com,POST,OK,Error: Signum required,TRUE
CIP-5011_Func_1.6,Media Delivery To Drop - Error: Product Set required,ciportal,mediaDeliveryToDrop/,product=test&drop=latest&mediaArtifact=testma&version=1.0.2&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Error: Product Set required,TRUE
CIP-5011_Func_1.7,Media Delivery To Drop - Error: Product Set,ciportal,mediaDeliveryToDrop/,product=test&drop=latest&mediaArtifact=testma&version=1.0.2&productSet=psTestg&signum=tafTest&email=tafTest@ericsson.com,POST,OK,Error: Product Set,TRUE
